ghg_id,fabric_group,fabric_name,fabric_type,process_step,country,env_impact_group,indicator_unit,fabric_eKPI_intensity,ePL_eKPI_intensity
1085,Synthetic Fibers,elastic,None,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,4.561488807,0.335165809
1086,Synthetic Fibers,polyester,conventional,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,4.561488807,0.335165809
1087,Plant Fibers,cotton,organic,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,2.667820941,0.196024237
1088,Leather,sheep/lamb,conventional,Tanning - WB_FL,Portugal,GHGs,kg CO2e,0.658248869,0.048366339
1089,Leather,sheep/lamb,conventional,Animal rearing,Portugal,GHGs,kg CO2e,11.45679298,0.841814032
1090,Plant Fibers,cotton,conventional,Crop farming,Portugal,GHGs,kg CO2e,2.282021005,0.167676705
1091,Synthetic Fibers,acrylic,None,Extraction,Portugal,GHGs,kg CO2e,0.176201041,0.012946774
1092,Synthetic Fibers,nylon,conventional,Extraction,Portugal,GHGs,kg CO2e,0.951478599,0.069912063
1093,Leather,beef/calf,conventional,Tanning - RH_WB,Romania,GHGs,kg CO2e,0.866120644,0.063640193
1094,Leather,beef/calf,conventional,Animal rearing,Romania,GHGs,kg CO2e,17.03214256,1.251475576
1095,Synthetic Fibers,polyester,conventional,Extraction,Romania,GHGs,kg CO2e,0.20320882,0.014931232
1096,Synthetic Fibers,nylon,conventional,Extraction,Romania,GHGs,kg CO2e,0.951478599,0.069912063
1097,Leather,sheep/lamb,conventional,Abattoir,Saudi Arabia,GHGs,kg CO2e,0.551120852,0.040494863
1098,Leather,goat,conventional,Tanning - RH_WB,Saudi Arabia,GHGs,kg CO2e,0.866120644,0.063640193
1099,Leather,beef/calf,conventional,Tanning - WB_FL - Metal-free,Serbia,GHGs,kg CO2e,0.953909563,0.070090684
1100,Leather,sheep/lamb,conventional,Tanning - WB_FL,Serbia,GHGs,kg CO2e,0.658248869,0.048366339
1101,Leather,beef/calf,conventional,Animal rearing,Serbia,GHGs,kg CO2e,17.04010425,1.25206058
1102,Synthetic Fibers,elastic,None,Processing,Singapore,GHGs,kg CO2e,2.101351555,0.154401605
1103,Leather,beef/calf,conventional,Abattoir,Slovenia,GHGs,kg CO2e,0.513481904,0.037729256
1104,Synthetic Fibers,nylon,Econyl,Processing,Slovenia,GHGs,kg CO2e,3.483434116,0.255953278
1105,Synthetic Fibers,polyester,conventional,Processing,Slovenia,GHGs,kg CO2e,3.794428291,0.278804285
1106,Synthetic Fibers,nylon,conventional,Processing,Slovenia,GHGs,kg CO2e,18.07025374,1.327753166
1107,Synthetic Fibers,nylon,conventional,Extraction,Slovenia,GHGs,kg CO2e,0.951478599,0.069912063
1108,Leather,sheep/goat,conventional,Tanning - RH_WB,South Africa,GHGs,kg CO2e,2.327657926,0.171029983
1109,Leather,beef/calf,conventional,Tanning - RH_WB,South Africa,GHGs,kg CO2e,0.866120644,0.063640193
1110,Leather,sheep/lamb,conventional,Tanning - RH_WB - Metal-free,South Africa,GHGs,kg CO2e,1.546629272,0.113642118
1111,Leather,sheep/lamb,conventional,Tanning - WB_FL,South Africa,GHGs,kg CO2e,1.054171113,0.07745763
1112,Animal Fibers,wool,conventional,Washing,South Africa,GHGs,kg CO2e,1.26376844,0.092858273
1113,Synthetic Fibers,nylon,conventional,Processing,South Africa,GHGs,kg CO2e,46.1219365,3.388914627
1114,Animal Fibers,mohair,restorative grazing,Animal rearing,South Africa,GHGs,kg CO2e,273.3225585,20.08299926
1115,Leather,sheep/goat,conventional,Animal rearing,South Africa,GHGs,kg CO2e,33.64593171,2.472211679
1116,Fur,None,None,Abattoir,Spain,GHGs,kg CO2e,1.82541288,0.134126381
1117,Leather,sheep/goat,conventional,Abattoir,Spain,GHGs,kg CO2e,0.505160997,0.037117858
1118,Animal Fibers,mohair,conventional,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.464513843,0.328040352
1119,Animal Fibers,silk,conventional,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.464513843,0.328040352
1120,Plant Fibers,cotton,conventional,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.264780493,0.313364488
1121,Plant Fibers,hemp,None,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.264780493,0.313364488
1122,Plant Fibers,linen,conventional,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.264780493,0.313364488
1123,Synthetic Fibers,acrylic,None,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.546113828,0.334036097
1124,Synthetic Fibers,nylon,Econyl,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.546113828,0.334036097
1125,Synthetic Fibers,polyester,recycled,Spinning Weaving and Dyeing,Spain,GHGs,kg CO2e,4.546113828,0.334036097
1126,Fur,None,None,Tanning - RH_WB,Spain,GHGs,kg CO2e,0.860990449,0.06326324
